numero proveedor,nombre proveedor,cuit,categoria proveedor,tipo de contribuyente,observaciones,contacto,correo electronico,telefono,razon social,importe,fecha,nro_cuenta,ciudad,pais,nombre de cuenta,descripcion,mes
P00009,Fernando Gomez,30-12345679-8,Materiales,Responsable Inscripto,-, Fernando Gomez,fernando.gomez@correo.com,9012-3456,S.A.,98854.0,2024-01-20,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00008,Compania Beta,30-74859632-7,Agente Impositivo,Monotributista,-,Laura Martinez,laura.martinez@empresa.com,8901-2345,S.R.L.,58428.0,2024-06-12,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",junio
P00007,Ana Sanchez,30-19283746-4,Servicios,Responsable Inscripto,-,Ana Sanchez,ana.sanchez@correo.com,7890-1234,S.A.,101603.0,2024-05-06,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00006,Grupo Alfa,30-97531246-1,Servicios,Responsable Inscripto,-,Alberto Fernandez,alberto.fernandez@empresa.com,6789-0123,S.R.L.,150678.0,2024-01-09,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00005, Carlos Mendez,30-12345678-9,Servicios,Monotributista,-, Carlos Mendez,carlos.mendez@correo.com,5678-9012,S.A.,173227.0,2024-03-28,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00005, Carlos Mendez,30-12345678-9,Servicios,Monotributista,-,Carlos Mendez,carlos.mendez@correo.com,5678-9012,S.A.,30808.0,2024-04-14,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00004,Servicios AB,30-24681357-2,Agente Impositivo,Responsable Inscripto,-,Laura Ruiz,laura.ruiz@correo.com,AR4567-8901,S.R.L.,72357.0,2024-03-09,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00003,Empresa XYZ,30-13579246-3,Materiales,Responsable Inscripto,-,Maria Lopez,maria.lopez@empresa.com,3456-7890,S.A.,139687.0,2024-01-18,506100,Rosario,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00002,Pedro Gonzalez,30-87654321-0,Servicios,Monotributista,-,Pedro Gonzalez,pedro.gonzalez@correo.com,2345-6789,S.R.L.,18521.0,2024-02-08,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00001,Proveedora S.A.,30-12345678-9,Servicios,Responsable Inscripto,-,Juan Perez,juan.perez@empresa.com,1234-5678,S.A.,189954.0,2024-03-18,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
D00055,Servicios Alpha,30-24681360-6,Servicios,Responsable Inscripto,-,Servicios Alpha,servicios.alpha@correo.com,5678-9012,S.A.,55617.0,2024-03-15,506100,Rosario,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",marzo
D00053,Estudio Juridico Zeta,30-12345678-5,Servicios,Responsable Inscripto,-,Estudio Juridico,estudio.zeta@correo.com,3456-7890,S.A.,164873.0,2024-01-03,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
D00037,Distribuciones AB,30-97531245-9,Materiales,Responsable Inscripto,-,Gabriela Ruiz,gabriela.ruiz@correo.com,7890-1234,S.A.,75330.0,2024-03-08,506100,Rosario,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",marzo
D00030,Constructora Beta,30-32165499-3,Servicios,Responsable Inscripto,-,Ricardo Martinez,ricardo.martinez@empresa.com,0123-4567,S.R.L.,23335.0,2024-01-07,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
D00011,Javier Lopez,30-65432198-7,Agente Impositivo,Monotributista,-,Javier Lopez,javier.lopez@correo.com,1234-5678,S.A.,117106.0,2024-06-04,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00028,Andres Martinez,30-86430977-1,Materiales,Responsable Inscripto,-,Andres Martinez,andres.martinez@correo.com,8901-2345,S.R.L.,209460.0,2024-05-06,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00027,Compania Zeta,30-97531248-0,Servicios,Responsable Inscripto,-, Ana Garcia,ana.garcia@empresa.com,7890-1234,S.A.,224365.0,2024-03-26,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00026,Carlos Lopez,30-24681359-9,Materiales,Monotributista,-,Carlos Lopez,carlos.lopez@correo.com,6789-0123,S.R.L.,185402.0,2024-05-07,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00025,Servicios Delta,30-13579249-8,Agente Impositivo,Responsable Inscripto,-,Sergio Garcia,sergio.garcia@empresa.com,5678-9012,S.A.,156680.0,2024-06-05,506100,Rosario,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",junio
P00024,Mariana Rodriguez,30-87654330-7,Servicios,Monotributista,-,Mariana Rodriguez,mariana.rodriguez@correo.com,4567-8901,S.R.L.,108316.0,2024-04-02,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00023, Inversiones Sigma,30-12345670-6,Servicios,Responsable Inscripto,-,Carlos Jimenez,carlos.jimenez@empresa.com,3456-7890,S.A.,197818.0,2024-02-29,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,Responsable Inscripto,-,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,174615.0,2024-03-14,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,Responsable Inscripto,-,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,214016.0,2024-01-18,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00021,Distribuciones ABC,30-65432199-4,Servicios,Monotributista,-,Francisco Gomez,francisco.gomez@correo.com,1234-5678,S.A.,270035.0,2024-03-28,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00020,Juegos del Norte,30-45678902-3,Materiales,Responsable Inscripto,-,Pablo Fernandez,pablo.fernandez@empresa.com,0123-4567,S.R.L.,292966.0,2024-04-15,506100,Rosario,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",abril
P00019,Ana Lopez,30-32165498-1,Servicios,Responsable Inscripto,-,Ana Lopez,ana.lopez@correo.com,9012-3456,S.A.,207617.0,2024-05-17,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable Inscripto,-, Laura Sanchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,299795.0,2024-02-04,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00017,Julio Fernandez,30-86430976-9,Materiales,Monotributista,-,Julio Fernandez,julio.fernandez@correo.com,7890-1234,S.A.,252040.0,2024-03-05,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00016,Marketing Global,30-97531247-8,Servicios,Responsable Inscripto,-,Gabriela Gomez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,158655.0,2024-04-10,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00015,Rosa Perez,30-24681358-6,Agente Impositivo,Responsable Inscripto,-,Rosa Perez,rosa.perez@correo.com,5678-9012,S.A.,234322.0,2024-05-19,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00014,Estudio Juridico Alfa,30-13579248-7,Materiales,Responsable Inscripto,-,Maria Hernandez,maria.hernandez@correo.com,4567-8901,S.R.L.,248954.0,2024-06-19,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",junio
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista,-, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,168452.0,2024-02-01,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable Inscripto,-,Natalia Gomez,natalia.gomez@empresa.com,2345-6789,S.R.L.,128252.0,2024-06-03,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",junio
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable Inscripto,-,Javier Martinez,javier.martinez@empresa.com,0123-4567,S.R.L.,242014.0,2024-05-02,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",mayo
P00009,Fernando Gomez,30-12345679-8,Materiales,Responsable Inscripto,-, Fernando Gomez,fernando.gomez@correo.com,9012-3456,S.A.,155351.0,2024-03-06,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00008,Compania Beta,30-74859632-7,Agente Impositivo,Monotributista,-,Laura Martinez,laura.martinez@empresa.com,8901-2345,S.R.L.,283772.0,2024-01-21,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00100,Gabriela Morales,30-98765437-1,Materiales,Monotributista,-,Gabriela Morales,gabriela.morales@empresa.com,0123-4567,S.R.L.,213343.0,2024-01-07,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00099,Servicios Repuestos,30-45678910-0,Servicios,Responsable Inscripto,-,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,50432.0,2024-06-03,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",junio
P00098,Consultora Alpha,30-32165492-9,Materiales,Monotributista,-,Consultora Alpha,consultora.alpha@correo.com,8901-2345,S.R.L.,174377.0,2024-02-25,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00097,Proveedora Consultora,30-19283755-8,Servicios,Responsable Inscripto,-,Proveedora Consultora,proveedora.consultora@empresa.com,7890-1234,S.A.,124891.0,2024-06-30,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00096,Mariana Fernandez,30-86430987-7,Materiales,Monotributista,-,Mariana Fernandez,mariana.fernandez@correo.com,6789-0123,S.R.L.,204006.0,2024-05-11,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00095,Servicios Consultores,30-97531256-6,Servicios,Responsable Inscripto,-,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,80841.0,2024-06-28,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",junio
P00094,Gabriela Martinez,30-24681366-5,Agente Impositivo,Monotributista,-,Gabriela Martinez,gabriela.martinez@empresa.com,4567-8901,S.R.L.,37732.0,2024-03-21,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00093,Servicios Proveedores,30-13579253-4,Servicios,Responsable Inscripto,-,Servicios Proveedores,servicios.proveedores@correo.com,3456-7890,S.A.,135868.0,2024-01-09,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00092,Consultora Zeta,30-86430986-3,Servicios,Monotributista,-,Consultora Zeta,consultora.zeta@empresa.com,2345-6789,S.R.L.,204823.0,2024-02-22,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00091,Pedro Morales,30-97531255-2,Agente Impositivo,Responsable Inscripto,-,Pedro Morales,pedro.morales@correo.com,1234-5678,S.A.,209036.0,2024-06-29,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00089,Mariana Morales,30-13579252-0,Servicios,Responsable Inscripto,-,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,160810.0,2024-01-25,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00087,Consultora Zeta SRL,30-97531254-8,Servicios,Responsable Inscripto,-,Consultora Zeta,consultora.zeta@correo.com,7890-1234,S.R.L.,127588.0,2024-03-06,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00086, Ana Gomez,30-45678909-7,Servicios,Monotributista,-,Ana Gomez,ana.gomez@empresa.com,6789-0123,S.R.L.,95580.0,2024-06-14,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00085,Estudio Consultores,30-32165491-6,Materiales,Responsable Inscripto,-,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.,134052.0,2024-02-09,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",febrero
P00084,Fernando Perez,30-19283754-5,Servicios,Monotributista,-,Fernando Perez,fernando.perez@correo.com,4567-8901,S.R.L.,219093.0,2024-01-05,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00083,Proveedora Gamma,30-86430984-4,Materiales,Responsable Inscripto,-,Proveedora Gamma,proveedora.gamma@empresa.com,3456-7890,S.A.,73957.0,2024-02-16,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",febrero
P00082,Gabriela Torres,30-97531253-3,Servicios,Monotributista,-,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,39175.0,2024-02-15,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00081,Estudio Juridico Zeta,30-24681364-2,Servicios,Responsable Inscripto,-,Estudio Juridico,estudio.zeta@correo.com,1234-5678,S.A.,88494.0,2024-02-11,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00080,Consultora Beta SRL,30-13579251-1,Servicios,Monotributista,-,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,228756.0,2024-02-16,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00080,Consultora Beta SRL,30-13579251-1,Servicios,Monotributista,-,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,202092.0,2024-06-09,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00079,Ana Morales,30-86430983-0,Agente Impositivo,Responsable Inscripto,-,Ana Morales,ana.morales@correo.com,9012-3456,S.A.,155264.0,2024-05-30,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00078,Servicios Gamma S.A.,30-97531252-9,Materiales,Monotributista,-,Servicios Gamma,servicios.gamma@correo.com,8901-2345,S.R.L.,210166.0,2024-06-15,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",junio
P00077,Javier Rodriguez,30-45678908-8,Servicios,Responsable Inscripto,-,Javier Rodriguez,javier.rodriguez@correo.com,7890-1234,S.A.,135738.0,2024-04-20,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00076,Repuestos Beta S.A.,30-32165490-7,Servicios,Monotributista,-,Repuestos Beta,repuestos.beta@empresa.com,6789-0123,S.R.L.,112002.0,2024-04-18,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",abril
P00075,Servicios Alpha S.A.,30-19283753-6,Servicios,Responsable Inscripto,-,Servicios Alpha,servicios.alpha@correo.com,5678-9012,S.A.,215609.0,2024-06-30,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00074,Proveedora SRL,30-86430982-5,Agente Impositivo,Monotributista,-,Proveedora SRL,proveedora.srl@correo.com,4567-8901,S.R.L.,74744.0,2024-05-10,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",mayo
P00073,Andres Garcia,30-97531251-4,Materiales,Responsable Inscripto,-,Andres Garcia,andres.garcia@correo.com,3456-7890,S.A.,75070.0,2024-03-18,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00001,Proveedora S.A.,30-12345678-9,Servicios,Responsable Inscripto,-,Juan Perez,juan.perez@empresa.com,1234-5678,S.A.,171488.0,2024-03-18,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00002,Pedro Gonzalez,30-87654321-0,Servicios,Monotributista,-,Pedro Gonzalez,pedro.gonzalez@correo.com,2345-6789,S.R.L.,288255.0,2024-02-08,503100,Cordoba,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00003,Empresa XYZ,30-13579246-3,Materiales,Responsable Inscripto,-,Maria Lopez,maria.lopez@empresa.com,3456-7890,S.A.,195975.0,2024-01-18,506100,Rosario,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00004,Servicios AB,30-24681357-2,Agente Impositivo,Responsable Inscripto,-,Laura Ruiz,laura.ruiz@correo.com,AR4567-8901,S.R.L.,158607.0,2024-03-09,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00005, Carlos Mendez,30-12345678-9,Servicios,Monotributista,-, Carlos Mendez,carlos.mendez@correo.com,5678-9012,S.A.,238101.0,2024-03-28,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00005, Carlos Mendez,30-12345678-9,Servicios,Monotributista,-,Carlos Mendez,carlos.mendez@correo.com,5678-9012,S.A.,288617.0,2024-04-14,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00006,Grupo Alfa,30-97531246-1,Servicios,Responsable Inscripto,-,Alberto Fernandez,alberto.fernandez@empresa.com,6789-0123,S.R.L.,251833.0,2024-01-09,501400,San Miguel de Tucuman,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00007,Ana Sanchez,30-19283746-4,Servicios,Responsable Inscripto,-,Ana Sanchez,ana.sanchez@correo.com,7890-1234,S.A.,235688.0,2024-05-06,503100,Mar del Plata,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00008,Compania Beta,30-74859632-7,Agente Impositivo,Monotributista,-,Laura Martinez,laura.martinez@empresa.com,8901-2345,S.R.L.,110198.0,2024-06-12,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",junio
P00008,Compania Beta,30-74859632-7,Agente Impositivo,Monotributista,-,Laura Martinez,laura.martinez@empresa.com,8901-2345,S.R.L.,269252.0,2024-01-21,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00009,Fernando Gomez,30-12345679-8,Materiales,Responsable Inscripto,-, Fernando Gomez,fernando.gomez@correo.com,9012-3456,S.A.,12373.0,2024-01-20,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00009,Fernando Gomez,30-12345679-8,Materiales,Responsable Inscripto,-, Fernando Gomez,fernando.gomez@correo.com,9012-3456,S.A.,151274.0,2024-03-06,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable Inscripto,-,Javier Martinez,javier.martinez@empresa.com,0123-4567,S.R.L.,101610.0,2024-01-28,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable Inscripto,-,Javier Martinez,javier.martinez@empresa.com,0123-4567,S.R.L.,273713.0,2024-05-02,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",mayo
P00011,Javier Lopez,30-65432198-7,Agente Impositivo,Monotributista,-,Javier Lopez,javier.lopez@correo.com,1234-5678,S.A.,291963.0,2024-06-04,516000,Mar del Plata,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable Inscripto,-,Natalia Gomez,natalia.gomez@empresa.com,2345-6789,S.R.L.,224379.0,2024-04-09,501400,Salta,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",abril
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable Inscripto,-,Natalia Gomez,natalia.gomez@empresa.com,2345-6789,S.R.L.,153447.0,2024-06-03,501400,Salta,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",junio
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista,-, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,79543.0,2024-04-14,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista,-, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,41665.0,2024-02-01,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00014,Estudio Juridico Alfa,30-13579248-7,Materiales,Responsable Inscripto,-,Maria Hernandez,maria.hernandez@correo.com,4567-8901,S.R.L.,58494.0,2024-01-15,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00014,Estudio Juridico Alfa,30-13579248-7,Materiales,Responsable Inscripto,-,Maria Hernandez,maria.hernandez@correo.com,4567-8901,S.R.L.,218705.0,2024-06-19,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",junio
P00015,Rosa Perez,30-24681358-6,Agente Impositivo,Responsable Inscripto,-,Rosa Perez,rosa.perez@correo.com,5678-9012,S.A.,35574.0,2024-05-24,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00015,Rosa Perez,30-24681358-6,Agente Impositivo,Responsable Inscripto,-,Rosa Perez,rosa.perez@correo.com,5678-9012,S.A.,26434.0,2024-05-19,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00016,Marketing Global,30-97531247-8,Servicios,Responsable Inscripto,-,Gabriela Gomez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,295412.0,2024-04-09,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00016,Marketing Global,30-97531247-8,Servicios,Responsable Inscripto,-,Gabriela Gomez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,128265.0,2024-04-10,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
