Número Proveedor,Nombre Proveedor,CUIT,Categoría Proveedor,Tipo de Contribuyente,Observaciones,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Nombre de Cuenta,Descripción,Mes
P00017,Julio Fernández,30-86430976-9,Materiales,MONOTRIBUTISTA,,Julio Fernández,julio.fernandez@correo.com,7890-1234,S.A.,"$121.086,00",1/5/2024,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00016,Marketing Global,30-97531247-8,Servicios,RESPONSABLE INSCRIPTO,,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,"$234.752,00",9/4/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00015,Rosa Pérez,30-24681358-6,Agente Impositivo,RESPONSABILE INSCRIPTO,,Rosa Pérez,rosa.perez@correo.com,5678-9012,S.A.,"$115.620,00",24/5/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00014,Estudio Jurídico Alfa,30-13579248-7,Materiales,RESPONSABLE INSCRIPTO,,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,"$78.723,00",15/1/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00013,Repuestos Omega,30-45678901-2,Servicios,MONOTRIBUTISTA,, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,"$165.070,00",14/4/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00012,Proveedor Ltda.,30-32165487-0,Servicios,RESPONSABLE INSCRIPTO,,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,"$29.110,00",9/4/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",abril
P00010,Soluciones Gama,30-98765432-1,Servicios,RESPONSABLE INSCRIPTO,,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"$28.033,00",28/1/2024,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00009,Fernando Gómez,30-12345679-8,Materiales,RESPONSABILE INSCRIPTO,, Fernando Gómez,fernando.gomez@correo.com,9012-3456,S.A.,"$98.854,00",20/1/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00008,Compañía Beta,30-74859632-7,Agente Impositivo,MONOTRIBUTISTA,,Laura Martínez,laura.martinez@empresa.com,8901-2345,S.R.L.,"$58.428,00",12/6/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",junio
P00007,Ana Sánchez,30-19283746-4,Servicios,RESPONSABLE INSCRIPTO,,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,"$101.603,00",6/5/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00006,Grupo Alfa,30-97531246-1,Servicios,RESPONSABILE INSCRIPTO,,Alberto Fernández,alberto.fernandez@empresa.com,6789-0123,S.R.L.,"$150.678,00",9/1/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00005, Carlos Méndez,30-12345678-9,Servicios,MONOTRIBUTISTA,, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"$173.227,00",28/3/2024,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00005, Carlos Méndez,30-12345678-9,Servicios,MONOTRIBUTISTA,,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"$30.808,00",14/4/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00004,Servicios AB,30-24681357-2,Agente Impositivo,RESPONSABILE INSCRIPTO,,Laura Ruiz,laura.ruiz@correo.com,AR4567-8901,S.R.L.,"$72.357,00",9/3/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00003,Empresa XYZ,30-13579246-3,Materiales,RESPONSABLE INSCRIPTO,,María López,maria.lopez@empresa.com,3456-7890,S.A.,"$139.687,00",18/1/2024,506100,Rosario,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00002,Pedro González,30-87654321-0,Servicios,MONOTRIBUTISTA,,Pedro González,pedro.gonzalez@correo.com,2345-6789,S.R.L.,"$18.521,00",8/2/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00001,Proveedora S.A.,30-12345678-9,Servicios,RESPONSABLE INSCRIPTO,,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,"$189.954,00",18/3/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",marzo
D00055,Servicios Alpha,30-24681360-6,Servicios,RESPONSABLE INSCRIPTO,,Servicios Alpha,servicios.alpha@correo.com,5678-9012,S.A.,"$55.617,00",15/3/2024,506100,Rosario,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",marzo
D00053,Estudio Jurídico Zeta,30-12345678-5,Servicios,RESPONSABLE INSCRIPTO,,Estudio Jurídico,estudio.zeta@correo.com,3456-7890,S.A.,"$164.873,00",3/1/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
D00048,Estudio Jurídico Beta,NULL,Materiales,MONOTRIBUTISTA,,Estudio Jurídico,estudio.juridico@correo.com,8901-2345,S.R.L.,"$204.368,00",19/4/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
D00037,Distribuciones AB,30-97531245-9,Materiales,RESPONSABILE INSCRIPTO,,Gabriela Ruiz,gabriela.ruiz@correo.com,7890-1234,S.A.,"$75.330,00",8/3/2024,506100,Rosario,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",marzo
D00030,Constructora Beta,30-32165499-3,Servicios,RESPONSABLE INSCRIPTO,,Ricardo Martínez,ricardo.martinez@empresa.com,0123-4567,S.R.L.,"$23.335,00",7/1/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
D00011,Javier López,30-65432198-7,Agente Impositivo,MONOTRIBUTISTA,,Javier López,javier.lopez@correo.com,1234-5678,S.A.,"$117.106,00",4/6/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00028,Andrés Martínez,30-86430977-1,Materiales,RESPONSABILE INSCRIPTO,,Andrés Martínez,andres.martinez@correo.com,8901-2345,S.R.L.,"$209.460,00",6/5/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00027,Compañía Zeta,30-97531248-0,Servicios,RESPONSABLE INSCRIPTO,, Ana García,ana.garcia@empresa.com,7890-1234,S.A.,"$224.365,00",26/3/2024,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00026,Carlos López,30-24681359-9,Materiales,MONOTRIBUTISTA,,Carlos López,carlos.lopez@correo.com,6789-0123,S.R.L.,"$185.402,00",7/5/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00025,Servicios Delta,30-13579249-8,Agente Impositivo,RESPONSABLE INSCRIPTO,,Sergio García,sergio.garcia@empresa.com,5678-9012,S.A.,"$156.680,00",5/6/2024,506100,Rosario,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",junio
P00024,Mariana Rodríguez,30-87654330-7,Servicios,MONOTRIBUTISTA,,Mariana Rodríguez,mariana.rodriguez@correo.com,4567-8901,S.R.L.,"$108.316,00",2/4/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00023, Inversiones Sigma,30-12345670-6,Servicios,RESPONSABILE INSCRIPTO,,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,S.A.,"$197.818,00",29/2/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,RESPONSABLE INSCRIPTO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$174.615,00",14/3/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,RESPONSABLE INSCRIPTO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$214.016,00",18/1/2024,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00021,Distribuciones ABC,30-65432199-4,Servicios,MONOTRIBUTISTA,,Francisco Gómez,francisco.gomez@correo.com,1234-5678,S.A.,"$270.035,00",28/3/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00020,Juegos del Norte,30-45678902-3,Materiales,RESPONSABLE INSCRIPTO,,Pablo Fernández,pablo.fernandez@empresa.com,0123-4567,S.R.L.,"$292.966,00",15/4/2024,506100,Rosario,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",abril
P00019,Ana López,30-32165498-1,Servicios,RESPONSABILE INSCRIPTO,,Ana López,ana.lopez@correo.com,9012-3456,S.A.,"$207.617,00",17/5/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00018,Consultora Zeta,30-19283747-0,Servicios,RESPONSABLE INSCRIPTO,, Laura Sánchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,"$299.795,00",4/2/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00017,Julio Fernández,30-86430976-9,Materiales,MONOTRIBUTISTA,,Julio Fernández,julio.fernandez@correo.com,7890-1234,S.A.,"$252.040,00",5/3/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00016,Marketing Global,30-97531247-8,Servicios,RESPONSABLE INSCRIPTO,,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,"$158.655,00",10/4/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00015,Rosa Pérez,30-24681358-6,Agente Impositivo,RESPONSABILE INSCRIPTO,,Rosa Pérez,rosa.perez@correo.com,5678-9012,S.A.,"$234.322,00",19/5/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00014,Estudio Jurídico Alfa,30-13579248-7,Materiales,RESPONSABLE INSCRIPTO,,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,"$248.954,00",19/6/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",junio
P00013,Repuestos Omega,30-45678901-2,Servicios,MONOTRIBUTISTA,, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,"$168.452,00",1/2/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00012,Proveedor Ltda.,30-32165487-0,Servicios,RESPONSABLE INSCRIPTO,,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,"$128.252,00",3/6/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",junio
P00010,Soluciones Gama,30-98765432-1,Servicios,RESPONSABLE INSCRIPTO,,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"$242.014,00",2/5/2024,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",mayo
P00009,Fernando Gómez,30-12345679-8,Materiales,RESPONSABILE INSCRIPTO,, Fernando Gómez,fernando.gomez@correo.com,9012-3456,S.A.,"$155.351,00",6/3/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00008,Compañía Beta,30-74859632-7,Agente Impositivo,MONOTRIBUTISTA,,Laura Martínez,laura.martinez@empresa.com,8901-2345,S.R.L.,"$283.772,00",21/1/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00100,Gabriela Morales,30-98765437-1,Materiales,MONOTRIBUTISTA,,Gabriela Morales,gabriela.morales@empresa.com,0123-4567,S.R.L.,"$213.343,00",7/1/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00099,Servicios Repuestos,30-45678910-0,Servicios,RESPONSABLE INSCRIPTO,,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,"$50.432,00",3/6/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",junio
P00098,Consultora Alpha,30-32165492-9,Materiales,MONOTRIBUTISTA,,Consultora Alpha,consultora.alpha@correo.com,8901-2345,S.R.L.,"$174.377,00",25/2/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00097,Proveedora Consultora,30-19283755-8,Servicios,RESPONSABLE INSCRIPTO,,Proveedora Consultora,proveedora.consultora@empresa.com,7890-1234,S.A.,"$124.891,00",30/6/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00096,Mariana Fernández,30-86430987-7,Materiales,MONOTRIBUTISTA,,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,"$204.006,00",11/5/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00095,Servicios Consultores,30-97531256-6,Servicios,RESPONSABLE INSCRIPTO,,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,"$80.841,00",28/6/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",junio
P00094,Gabriela Martínez,30-24681366-5,Agente Impositivo,MONOTRIBUTISTA,,Gabriela Martínez,gabriela.martinez@empresa.com,4567-8901,S.R.L.,"$37.732,00",21/3/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00093,Servicios Proveedores,30-13579253-4,Servicios,RESPONSABLE INSCRIPTO,,Servicios Proveedores,servicios.proveedores@correo.com,3456-7890,S.A.,"$135.868,00",9/1/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00092,Consultora Zeta,30-86430986-3,Servicios,MONOTRIBUTISTA,,Consultora Zeta,consultora.zeta@empresa.com,2345-6789,S.R.L.,"$204.823,00",22/2/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00091,Pedro Morales,30-97531255-2,Agente Impositivo,RESPONSABLE INSCRIPTO,,Pedro Morales,pedro.morales@correo.com,1234-5678,S.A.,"$209.036,00",29/6/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00090,Servicios Consultora,NULL,Materiales,MONOTRIBUTISTA,,Servicios Consultora,servicios.consultora@empresa.com,0123-4567,S.R.L.,"$140.396,00",3/3/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00089,Mariana Morales,30-13579252-0,Servicios,RESPONSABLE INSCRIPTO,,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,"$160.810,00",25/1/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00088,Repuestos & Co.,NULL,Agente Impositivo,MONOTRIBUTISTA,,Repuestos & Co.,repuestos.co@correo.com,8901-2345,S.R.L.,"$161.283,00",17/5/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00087,Consultora Zeta SRL,30-97531254-8,Servicios,RESPONSABLE INSCRIPTO,,Consultora Zeta,consultora.zeta@correo.com,7890-1234,S.R.L.,"$127.588,00",6/3/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00086, Ana Gómez,30-45678909-7,Servicios,MONOTRIBUTISTA,,Ana Gómez,ana.gomez@empresa.com,6789-0123,S.R.L.,"$95.580,00",14/6/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00085,Estudio Consultores,30-32165491-6,Materiales,RESPONSABLE INSCRIPTO,,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.,"$134.052,00",9/2/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",febrero
P00084,Fernando Pérez,30-19283754-5,Servicios,MONOTRIBUTISTA,,Fernando Pérez,fernando.perez@correo.com,4567-8901,S.R.L.,"$219.093,00",5/1/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00083,Proveedora Gamma,30-86430984-4,Materiales,RESPONSABLE INSCRIPTO,,Proveedora Gamma,proveedora.gamma@empresa.com,3456-7890,S.A.,"$73.957,00",16/2/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",febrero
P00082,Gabriela Torres,30-97531253-3,Servicios,MONOTRIBUTISTA,,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,"$39.175,00",15/2/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00081,Estudio Jurídico Zeta,30-24681364-2,Servicios,RESPONSABLE INSCRIPTO,,Estudio Jurídico,estudio.zeta@correo.com,1234-5678,S.A.,"$88.494,00",11/2/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00080,Consultora Beta SRL,30-13579251-1,Servicios,MONOTRIBUTISTA,,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,"$228.756,00",16/2/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00080,Consultora Beta SRL,30-13579251-1,Servicios,MONOTRIBUTISTA,,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,"$202.092,00",9/6/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00079,Ana Morales,30-86430983-0,Agente Impositivo,RESPONSABLE INSCRIPTO,,Ana Morales,ana.morales@correo.com,9012-3456,S.A.,"$155.264,00",30/5/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00078,Servicios Gamma S.A.,30-97531252-9,Materiales,MONOTRIBUTISTA,,Servicios Gamma,servicios.gamma@correo.com,8901-2345,S.R.L.,"$210.166,00",15/6/2024,506100,San Juan,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",junio
P00077,Javier Rodríguez,30-45678908-8,Servicios,RESPONSABLE INSCRIPTO,,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,S.A.,"$135.738,00",20/4/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00076,Repuestos Beta S.A.,30-32165490-7,Servicios,MONOTRIBUTISTA,,Repuestos Beta,repuestos.beta@empresa.com,6789-0123,S.R.L.,"$112.002,00",18/4/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",abril
P00075,Servicios Alpha S.A.,30-19283753-6,Servicios,RESPONSABLE INSCRIPTO,,Servicios Alpha,servicios.alpha@correo.com,5678-9012,S.A.,"$215.609,00",30/6/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00074,Proveedora SRL,30-86430982-5,Agente Impositivo,MONOTRIBUTISTA,,Proveedora SRL,proveedora.srl@correo.com,4567-8901,S.R.L.,"$74.744,00",10/5/2024,514100,Neuquén,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",mayo
P00073,Andrés García,30-97531251-4,Materiales,RESPONSABLE INSCRIPTO,,Andrés García,andres.garcia@correo.com,3456-7890,S.A.,"$75.070,00",18/3/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00001,Proveedora S.A.,30-12345678-9,Servicios,RESPONSABLE INSCR/ITO,-,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,"$171.488,00",18/3/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00002,Pedro González,30-87654321-0,Servicios,MONOTRIBUTISTA,-,Pedro González,pedro.gonzalez@correo.com,2345-6789,S.R.L.,"$288.255,00",8/2/2024,503100,Cordoba,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00003,Empresa XYZ,30-13579246-3,Materiales,RESPONSABLE INSCR/ITO,-,María López,maria.lopez@empresa.com,3456-7890,S.A.,"$195.975,00",18/1/2024,506100,Rosario,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00004,Servicios AB,30-24681357-2,Agente Impositivo,RESPONSAB/LE INSCRIPTO,-,Laura Ruiz,laura.ruiz@correo.com,AR4567-8901,S.R.L.,"$158.607,00",9/3/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00005, Carlos Méndez,30-12345678-9,Servicios,MONOTRIBUTISTA,-, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"$238.101,00",28/3/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00005, Carlos Méndez,30-12345678-9,Servicios,MONOTRIBUTISTA,-,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"$288.617,00",14/4/2024,516000,Buenos Aires,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00006,Grupo Alfa,30-97531246-1,Servicios,RESPONSAB/LE INSCRIPTO,-,Alberto Fernández,alberto.fernandez@empresa.com,6789-0123,S.R.L.,"$251.833,00",9/1/2024,501400,San Miguel de Tucumán,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00007,Ana Sánchez,30-19283746-4,Servicios,RESPONSABLE INSCR/ITO,-,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,"$235.688,00",6/5/2024,503100,Mar del Plata,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00008,Compañía Beta,30-74859632-7,Agente Impositivo,MONOTRIBUTISTA,-,Laura Martínez,laura.martinez@empresa.com,8901-2345,S.R.L.,"$110.198,00",12/6/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",junio
P00008,Compañía Beta,30-74859632-7,Agente Impositivo,MONOTRIBUTISTA,-,Laura Martínez,laura.martinez@empresa.com,8901-2345,S.R.L.,"$269.252,00",21/1/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00009,Fernando Gómez,30-12345679-8,Materiales,RESPONSAB/LE INSCRIPTO,-, Fernando Gómez,fernando.gomez@correo.com,9012-3456,S.A.,"$12.373,00",20/1/2024,509100,Mendoza,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
