Número,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Ciudad,Pais,Observaciones,Razon Social,Tipo de Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Importe,Nro de Cuenta,Nombre de Cuenta,Descripción
D00101,Donaciones Co.,Empresa,Contacto VVVV,-,donacionesco.@example.com,(011) 5000-0101,Buenos Aires,Argentina,Observación 101,SRL,Responsable Inscripto,29-01234576-10,31/5/2024,,SI,Anual,"$120.000,00",409021,Donaciones en Especies,"Donación de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00102,Ayuda Empresarial S.A.,Empresa,Contacto VVVV,-,ayudaempresarials.a.@example.com,(011) 5000-0102,Buenos Aires,Argentina,Observación 102,SA,Responsable Inscripto,29-01234576-11,1/6/2024,,SI,Anual,"$150.000,00",409021,Donaciones en Especies,"Donación de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00103,Donativos y Más S.R.L.,Empresa,Contacto VVVV,-,donativosymass.r.l.@example.com,(011) 5000-0103,Buenos Aires,Argentina,Observación 103,SRL,Responsable Inscripto,29-01234576-12,2/6/2024,,SI,Bimestral,"$200.000,00",409021,Donaciones en Especies,"Donación de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00104,Apoyo Corporativo S.A.,Empresa,Contacto VVVV,-,apoyocorporativos.a.@example.com,(011) 5000-0104,Buenos Aires,Argentina,Observación 104,SA,Responsable Inscripto,29-01234576-13,3/6/2024,,SI,Bimestral,"$180.000,00",409021,Donaciones en Especies,"Donación de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00105,Fundación Empresarial,Empresa,Contacto VVVV,-,fundacionempresarial@example.com,(011) 5000-0105,Buenos Aires,Argentina,,SA,Responsable Inscripto,29-01234576-14,4/6/2024,,SI,Bimestral,"$220.000,00",409021,Donaciones en Especies,"Donación de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00106,Ministerio Desarrollo Social,Estado,,-,ministeriods@example.gov,(011) 652389745,Buenos Aires,Argentina,Observación 106,GOB,Exento,30-0000000-25,1/1/2024,,SI,Mensual,"$650.000,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00107,Campaña un Sol para todos,Campaña,Contacto VVVV,-,solparatodos@example.gov,(011) 652389746,Buenos Aires,Argentina,Observación 107,SA,Exento,30-0000000-85,2/2/2024,,SI,Anual,"$780.000,00",403101,Donaciones Personales no recurrentes,
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$281.342,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$383.818,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$217.763,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$424.093,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$191.399,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$390.950,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$797.809,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$596.040,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$683.505,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$627.181,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$659.415,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,,Brasil,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,5/5/2021,NO,Bimestral,"$758.508,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$183.574,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$714.947,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$249.584,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$730.842,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$280.468,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$166.865,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$655.577,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$686.866,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$492.556,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$470.537,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$143.318,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$387.405,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$748.110,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$606.837,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$732.998,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$433.172,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$65.198,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$505.685,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$547.634,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$662.880,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$257.499,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$567.511,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$78.589,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$778.799,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$402.281,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$368.134,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$238.802,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$739.084,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$578.868,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$481.653,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,,Argentina,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"$676.243,00",404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$101.418,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$153.871,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$141.673,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$130.672,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$195.011,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$199.470,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$196.540,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$167.308,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$194.895,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$157.365,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$156.809,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$168.805,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$175.721,00",403103,Ingresos Bonos Contribución,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,,Paraguay,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"$129.491,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$766.487,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$356.286,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$72.321,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$512.660,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$235.999,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$188.904,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$183.842,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$70.469,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$207.544,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$483.595,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$226.668,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$285.886,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$321.539,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$345.181,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$250.534,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$333.984,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$522.252,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$564.381,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$53.611,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$175.471,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$487.451,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$590.151,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$442.684,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$520.747,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$599.251,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$360.648,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$63.873,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$299.852,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$723.618,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$615.923,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$282.999,00",403103,Ingresos Bonos Contribución,Para fines generales
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,+595 5380-3426,,Paraguay,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"$693.094,00",403103,Ingresos Bonos Contribución,Para fines generales
